epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3162.7,0.36797,0.2394,0.90053,1,1,0.995,0.99142,0.16843,0.12205,0.61402,0.0004556,0.0004556,0.0004556
80,3203.48,0.36023,0.24067,0.89488,0.99961,1,0.995,0.99015,0.18022,0.11865,0.61719,0.0004358,0.0004358,0.0004358
81,3243.6,0.35543,0.23639,0.89204,0.99961,1,0.995,0.99011,0.17394,0.11322,0.61449,0.000416,0.000416,0.000416
82,3284.09,0.35798,0.23738,0.89791,0.99962,1,0.995,0.99046,0.1758,0.12289,0.61558,0.0003962,0.0003962,0.0003962
83,3323.26,0.34874,0.2425,0.89225,0.99962,1,0.995,0.98973,0.16599,0.11235,0.61727,0.0003764,0.0003764,0.0003764
84,3362,0.35438,0.23562,0.88995,0.99962,1,0.995,0.98855,0.16633,0.11618,0.61232,0.0003566,0.0003566,0.0003566
85,3400.73,0.35169,0.23377,0.89546,0.99961,1,0.995,0.98994,0.15841,0.10857,0.6108,0.0003368,0.0003368,0.0003368
86,3439.39,0.34392,0.22658,0.88677,0.99961,1,0.995,0.98905,0.17915,0.1154,0.61682,0.000317,0.000317,0.000317
87,3477.93,0.34516,0.23509,0.89409,0.99961,1,0.995,0.99152,0.16825,0.11291,0.61583,0.0002972,0.0002972,0.0002972
88,3516.6,0.32998,0.22503,0.88377,0.99961,1,0.995,0.98943,0.16593,0.11207,0.61233,0.0002774,0.0002774,0.0002774
89,3555.14,0.33235,0.22133,0.88123,0.99962,1,0.995,0.99025,0.15427,0.10436,0.60817,0.0002576,0.0002576,0.0002576
90,3593.95,0.32858,0.22237,0.884,0.99962,1,0.995,0.98984,0.16025,0.11026,0.61051,0.0002378,0.0002378,0.0002378
91,3631.38,0.25466,0.15035,0.81058,0.99961,1,0.995,0.99159,0.16557,0.10992,0.6095,0.000218,0.000218,0.000218
92,3669.03,0.25849,0.1529,0.81938,0.99962,1,0.995,0.9906,0.17244,0.10965,0.61295,0.0001982,0.0001982,0.0001982
93,3706.72,0.25715,0.14675,0.82494,0.99961,1,0.995,0.99035,0.16014,0.10271,0.60882,0.0001784,0.0001784,0.0001784
94,3744.64,0.24751,0.14196,0.81536,1,1,0.995,0.99039,0.16672,0.1092,0.61225,0.0001586,0.0001586,0.0001586
95,3782.28,0.24539,0.1433,0.81923,0.99962,1,0.995,0.99009,0.16675,0.10646,0.60898,0.0001388,0.0001388,0.0001388
96,3820.19,0.24707,0.13868,0.81165,0.99962,1,0.995,0.99371,0.1549,0.10331,0.60761,0.000119,0.000119,0.000119
97,3857.5,0.24226,0.13683,0.81047,0.99961,1,0.995,0.99255,0.1583,0.10278,0.61067,9.92e-05,9.92e-05,9.92e-05
98,3894.77,0.24001,0.13743,0.80527,0.99961,1,0.995,0.99189,0.15897,0.09939,0.60893,7.94e-05,7.94e-05,7.94e-05
99,3931.77,0.23916,0.1367,0.81013,0.99962,1,0.995,0.99216,0.15376,0.09773,0.60748,5.96e-05,5.96e-05,5.96e-05
100,3968.68,0.23539,0.13259,0.80911,0.99962,1,0.995,0.99108,0.15168,0.09733,0.60609,3.98e-05,3.98e-05,3.98e-05
